responsività,,,,,,,,,
λ,I (A),P (W),,Resp,,,,,
9632,"8,68E-01","1,840909091",,"0,47",,9581,"7,85E-01","1,413461538","5,56E-01"
9683,"1,05E+00","2,227272727",,"0,47",,9632,"8,68E-01","1,557692308","5,58E-01"
9734,"1,30E+00","2,75",,"0,47",,9683,"1,05E+00","1,884615385","5,57E-01"
9785,"1,44E+00","3,045454545",,"0,47",,9734,"1,30E+00","2,326923077","5,58E-01"
9836,"1,37E+00","2,886363636",,"0,48",,9785,"1,44E+00","2,576923077","5,59E-01"
9887,"1,22E+00","2,568181818",,"0,47",,9836,"1,37E+00","2,442307692","5,63E-01"
9938,"1,08E+00","2,340909091",,"0,46",,9887,"1,22E+00","2,173076923","5,60E-01"
9989,"9,92E-01","2,181818182",,"0,45",,9938,"1,08E+00","1,980769231","5,48E-01"
10040,"9,27E-01","2,090909091",,"0,44",,9989,"9,92E-01","1,846153846","5,37E-01"
10091,"8,75E-01",2,,"0,44",,10040,"9,27E-01","1,769230769","5,24E-01"
10142,"8,28E-01","1,954545455",,"0,42",,10091,"8,75E-01","1,692307692","5,17E-01"
10193,"7,81E-01","1,931818182",,"0,40",,10142,"8,28E-01","1,653846154","5,01E-01"
10244,"7,33E-01","1,909090909",,"0,38",,10193,"7,81E-01","1,634615385","4,78E-01"
10295,"6,85E-01","1,886363636",,"0,36",,10244,"7,33E-01","1,615384615","4,54E-01"
10346,"6,31E-01","1,863636364",,"0,34",,10295,"6,85E-01","1,596153846","4,29E-01"
10397,"5,75E-01","1,852272727",,"0,31",,10346,"6,31E-01","1,576923077","4,00E-01"
10448,"5,21E-01","1,840909091",,"0,28",,10397,"5,75E-01","1,567307692","3,67E-01"
10499,"4,65E-01","1,818181818",,"0,26",,10448,"5,21E-01","1,557692308","3,34E-01"
10550,"4,25E-01","1,840909091",,"0,23",,10499,"4,65E-01","1,538461538","3,03E-01"
10601,"3,58E-01","1,795454545",,"0,20",,10550,"4,25E-01","1,557692308","2,73E-01"
10652,"3,11E-01","1,761363636",,"0,18",,10601,"3,58E-01","1,519230769","2,36E-01"
10703,"2,75E-01","1,772727273",,"0,16",,10652,"3,11E-01","1,490384615","2,09E-01"
10754,"2,44E-01","1,704545455",,"0,14",,10703,"2,75E-01","1,5","1,84E-01"
10805,"2,16E-01","1,75",,"0,12",,10754,"2,44E-01","1,442307692","1,69E-01"
10856,"1,92E-01","1,738636364",,"0,11",,10805,"2,16E-01","1,480769231","1,46E-01"
10907,"1,68E-01","1,727272727",,"0,10",,10856,"1,92E-01","1,471153846","1,30E-01"
10958,"1,46E-01","1,715909091",,"0,09",,10907,"1,68E-01","1,461538462","1,15E-01"
11009,"1,27E-01","1,704545455",,"0,07",,10958,"1,46E-01","1,451923077","1,01E-01"
11060,"1,12E-01","1,693181818",,"0,07",,11009,"1,27E-01","1,442307692","8,80E-02"
11111,"9,62E-02","1,681818182",,"0,06",,11060,"1,12E-01","1,432692308","7,79E-02"
11162,"8,23E-02","1,704545455",,"0,05",,11111,"9,62E-02","1,423076923","6,76E-02"
11213,"6,92E-02","1,659090909",,"0,04",,11162,"8,23E-02","1,442307692","5,71E-02"
11264,"5,92E-02","1,636363636",,"0,04",,11213,"6,92E-02","1,403846154","4,93E-02"
11315,"4,85E-02","1,625",,"0,03",,11264,"5,92E-02","1,384615385","4,28E-02"
11366,"4,00E-02","1,625",,"0,02",,11315,"4,85E-02","1,375","3,52E-02"
11417,"3,23E-02","1,625",,"0,02",,11366,"4,00E-02","1,375","2,91E-02"
11468,"2,62E-02","1,613636364",,"0,02",,11417,"3,23E-02","1,375","2,35E-02"
11519,"1,92E-02","1,590909091",,"0,01",,11468,"2,62E-02","1,365384615","1,92E-02"
11570,"1,38E-02","1,579545455",,"0,01",,11519,"1,92E-02","1,346153846","1,43E-02"
11621,"9,23E-03","1,613636364",,"0,01",,11570,"1,38E-02","1,336538462","1,04E-02"
11672,"5,38E-03","1,590909091",,"0,00",,11621,"9,23E-03","1,365384615","6,76E-03"
11723,"2,31E-03","1,590909091",,"0,00",,11672,"5,38E-03","1,346153846","4,00E-03"
