lambda_nm,lambda_nm_err,R_A_per_W,R_err,EQE,EQE_percent,EQE_err
384.3,0.5,0.0363999999894109,0.0003568962548367,0.11744990889115149,11.744990889115149,0.0011515778194054332
394.1,0.5,0.0426400000090965,0.0003036585978499,0.13416290284516533,13.416290284516533,0.0009554343093983151
403.9,0.5,0.05200000000208,0.000275354607755,0.15964347611433327,15.964347611433327,0.0008453570527759346
413.7,0.5,0.0574079999963258,0.0002424133932186,0.17207135604409957,17.207135604409956,0.0007265956190260189
423.5,0.5,0.0554666666592711,0.0001628203793317,0.16240535220188,16.240535220187997,0.00047673499497357264
433.3,0.5,0.0695157894707572,0.00019221216377,0.1989374081323308,19.89374081323308,0.0005500648120812371
443.1,0.5,0.0817488372016977,0.0001991919149407,0.2287712889417855,22.87712889417855,0.000557431673496881
452.9,0.5,0.097759999998262,0.0002271131793276,0.26765820268899293,26.765820268899294,0.000621815726134299
462.7,0.5,0.1050196078398425,0.0002151263146678,0.2814443780449637,28.14443780449637,0.0005765217855804452
472.5,0.5,0.1111259259325111,0.0002148851057042,0.29163205959008204,29.163205959008202,0.0005639312826946201
482.3,0.5,0.1277192982402364,0.0002337448963899,0.32836809002258577,32.836809002258576,0.0006009613757484469
492.1,0.5,0.1307428571362162,0.0002164598709454,0.32944755709999607,32.944755709999605,0.000545438406771583
501.9,0.5,0.1430787878822564,0.0002260074739003,0.3534921238772623,35.34921238772623,0.0005583767037983105
511.7,0.5,0.1516666666683518,0.0002195497481411,0.3675330597396057,36.75330597396057,0.0005320337848250225
521.5,0.5,0.1614736842037274,0.0002213873122127,0.3839450976272713,38.39450976272713,0.0005264051143696031
531.3,0.5,0.1777215189909412,0.0002343325836973,0.41478389525459647,41.47838952545965,0.0005469083451621532
541.1,0.5,0.1854457831271678,0.0002327033931403,0.4249727796667678,42.497277966676776,0.0005332696497763296
550.9,0.5,0.1899130434815637,0.0002149817230633,0.42746809569275546,42.74680956927555,0.00048389423960517697
560.7,0.5,0.2038400000081536,0.0002122485487539,0.45079650438756996,45.079650438757,0.00046939218914720165
570.5,0.5,0.205,0.0002052437575177,0.4455740578439965,44.55740578439965,0.0004461038726063944
580.7,0.5,0.2185925926897448,0.0002107167200267,0.4667725416484993,46.67725416484993,0.0004499547663735285
590.9,0.5,0.2361311475564676,0.000201472550354,0.49551975456087294,49.55197545608729,0.00042278890241827715
601.1,0.5,0.2474193549025598,0.0002076824297548,0.5103976045236636,51.03976045236636,0.0004284249091597937
611.3,0.5,0.2582666666322311,0.0002239988334469,0.523884617412018,52.388461741201795,0.0004543735538592443
621.5,0.5,0.2660666666311911,0.0002307539200234,0.5308490211145245,53.08490211145245,0.00046039398363478037
631.7,0.5,0.2802711863456708,0.0002471758553229,0.5501603151316,55.01603151316,0.00048519560012726923
641.9,0.5,0.2976551725164328,0.000267013818148,0.5749998658987018,57.499986589870176,0.00051580796775747
652.1,0.5,0.29639999996048,0.0002570261571822,0.5636190767535579,56.361907675355795,0.0004887477916054715
662.3,0.5,0.3051803278888643,0.0002602933494865,0.571377935349829,57.1377935349829,0.0004873376919270119
672.5,0.5,0.3269830507366159,0.0002883231907905,0.6029129857448382,60.29129857448382,0.0005316293778144535
682.7,0.5,0.3310666666225244,0.0002870553045789,0.6013222009842247,60.13222009842247,0.000521383591149606
692.9,0.5,0.3397333332880355,0.0002945630788815,0.6079799874111185,60.79799874111185,0.000527144202356848
703.1,0.5,0.3483999999535467,0.0003020710190891,0.6144446023928287,61.444460239282876,0.0005327379656812458
713.3,0.5,0.3535999999528533,0.0003065758577776,0.6146978829966888,61.469788299668885,0.0005329511617050667
723.5,0.5,0.3639999998766101,0.0003209346016452,0.6238562541078044,62.38562541078044,0.0005500468639116075
733.7,0.5,0.3795087719830889,0.0003463387003273,0.6413941355581712,64.13941355581711,0.0005853345896222597
743.9,0.5,0.3933090907946737,0.0003719760404417,0.655603270043548,65.5603270043548,0.0006200434065703831
754.1,0.5,0.3967407409170699,0.0003821679795256,0.6523783566332936,65.23783566332936,0.000628415720211834
764.3,0.5,0.4065454544271867,0.000384486509197,0.659579175048687,65.9579175048687,0.0006237907515429543
774.5,0.5,0.4185573770766267,0.0003569048284566,0.6701241414783953,67.01241414783952,0.0005714163812604055
784.7,0.5,0.4301818180566744,0.0004068272304036,0.6797826613868692,67.97826613868692,0.0006428772342302332
794.9,0.5,0.4326400000173055,0.0004500657762947,0.6748944521593393,67.48944521593393,0.000702077698585266
805.1,0.5,0.4406021505527949,0.0004928432706457,0.6786072123779229,67.86072123779229,0.000759068010931149
815.3,0.5,0.4425777777699097,0.0005115537415032,0.6731220954675433,67.31220954675433,0.0007780285041873765
825.5,0.5,0.4502727272481669,0.0005322717132274,0.6763636363267438,67.63636363267437,0.0007995359471859188
835.7,0.5,0.4779047619002104,0.000591821129469,0.7091084178009583,70.91084178009584,0.0008781359345956205
845.9,0.5,0.46337777776954,0.0005355834391781,0.6792628495498636,67.92628495498636,0.0007851087180291334
856.1,0.5,0.480434782617051,0.0005432178233739,0.6958756342076198,69.58756342076198,0.0007868124062418363
866.3,0.5,0.4929166666543437,0.0005341029343339,0.7055485012713681,70.55485012713682,0.0007645014874454994
876.5,0.5,0.5036862744940019,0.0005136636805415,0.7125738509669851,71.25738509669851,0.0007266890631733714
886.7,0.5,0.5058181816710348,0.0004783215477089,0.7073582330800531,70.73582330800531,0.0006689057394372798
896.9,0.5,0.5017999999330933,0.0004349796804311,0.6937585014126835,69.37585014126834,0.000601376746275576
907.1,0.5,0.5191679999667732,0.0004320278967191,0.7096993936267211,70.96993936267211,0.0005905794200547723
912.2,0.5,0.5183749999028047,0.0004212580499581,0.7046535846080659,70.4653584608066,0.0005726375596887129
917.3,0.5,0.532,0.0004256751813296,0.719154039027581,71.9154039027581,0.0005754248608401876
922.4,0.5,0.5169855072164067,0.0003896851457665,0.6949935266135563,69.49935266135563,0.0005238612107008457
927.5,0.5,0.5383529410497992,0.0004117526773078,0.7197387028590307,71.97387028590308,0.0005504833637322608
932.6,0.5,0.5356000000612114,0.0003979436278903,0.7121423976795005,71.21423976795005,0.0005291122652626764
937.7,0.5,0.5368450705737592,0.0003932505122276,0.7099156313442054,70.99156313442055,0.0005200284047800193
942.8,0.5,0.5541714286347624,0.0004117372228491,0.7288635675722374,72.88635675722374,0.0005415296524532075
947.9,0.5,0.5481666665143982,0.0003959640186011,0.7170868936363053,71.70868936363053,0.0005179822587460324
953.0,0.5,0.5477808218577774,0.0003902650515345,0.7127473442850409,71.27473442850409,0.0005077950303282057
958.1,0.5,0.5553741498412107,0.000392981455108,0.7187808640049068,71.87808640049069,0.0005086076655191733
963.2,0.5,0.5572345677911635,0.0003577884326226,0.7173700831198534,71.73700831198533,0.0004606080320307558
968.3,0.5,0.5571428570291546,0.0002956744372498,0.7134742773067766,71.34742773067767,0.000378639163678356
973.4,0.5,0.5586776859319446,0.0002401313482723,0.711691319658528,71.1691319658528,0.00030589980671630573
978.5,0.5,0.5588059701325729,0.0002168847973982,0.708144509927839,70.81445099278389,0.0002748463451954706
983.6,0.5,0.560944881960434,0.0002297147128654,0.7071692289863137,70.71692289863137,0.0002895956119897275
988.7,0.5,0.561415929223413,0.0002583916734594,0.704112220326724,70.4112220326724,0.000324067639415046
993.8,0.5,0.5452427183830786,0.0002753144608757,0.6803189482743182,68.03189482743181,0.0003435197539604226
998.9,0.5,0.5373333333781111,0.0002911059544663,0.6670270631583319,66.7027063158332,0.00036136888931646014
1004.0,0.5,0.5239565218074727,0.0002962032709732,0.6471176165749662,64.71176165749662,0.00036582874104259763
1009.1,0.5,0.5170454546394628,0.0003055839971296,0.6353546365602357,63.53546365602357,0.000375507042355271
1014.2,0.5,0.5006511627441255,0.0003027796881292,0.6121154030789938,61.211540307899384,0.0003701901136661486
1019.3,0.5,0.4777882351816969,0.0002923579925781,0.5812394894783716,58.12394894783716,0.0003556596789922927
1024.4,0.5,0.4537619048699433,0.0002809684314348,0.5492627509163701,54.92627509163701,0.0003401023574571963
1029.5,0.5,0.4291566265473886,0.0002689421946341,0.51690550453498,51.690550453498,0.0003239323179662788
1034.6,0.5,0.4001463414438953,0.0002538305653987,0.47958772800157573,47.958772800157575,0.0003042237590318848
1039.7,0.5,0.3668711657161955,0.0002341642486091,0.43754952917965023,43.75495291796502,0.00027927639537874766
1044.8,0.5,0.3344691357364012,0.0002148168744558,0.39695800948807186,39.69580094880719,0.0002549511144000689
1049.9,0.5,0.302250000090675,0.0001965699975901,0.35697685504565857,35.697685504565854,0.0002321619173366263
1055.0,0.5,0.2728395061189452,0.0001752738336912,0.32068340055686445,32.06834005568645,0.00020600905571287957
1060.1,0.5,0.2356455696560474,0.0001552480782344,0.2756348517814346,27.56348517814346,0.0001815938279508122
1065.2,0.5,0.208670967795786,0.0001401721676105,0.24291400682198147,24.291400682198148,0.00016317450979817878
1070.3,0.5,0.1833333333333333,0.0001224039053681,0.2124015073655361,21.24015073655361,0.00014181149458697935
1075.4,0.5,0.1691733333694236,0.0001174982505046,0.1950668898810538,19.50668898810538,0.00013548245362256277
1080.5,0.5,0.1458701298473968,9.874090821052892e-05,0.16740301805716987,16.740301805716985,0.00011331672945956119
