E_ph_eV,Y_tauc,Y_tauc_err,in_fit_region
3.226645849596669,0.6156047929143671,0.003044408524738975,False
3.146409540725704,0.6497164285467036,0.0023498877558726953,False
3.07006684822976,0.7000829547666292,0.001903545738079797,False
2.9973410684070583,0.7181619191849932,0.001577155620625027,False
2.927981109799292,0.6895794394972964,0.0010909122422190487,False
2.8617585968151396,0.7545268967709632,0.0011303351101657575,False
2.7984653577070637,0.8001303187241312,0.001074269736761399,False
2.7379112386840365,0.8560516346974425,0.0011009445455066253,False
2.6799221958072184,0.8684751208917018,0.0010056918098796908,False
2.624338624338624,0.8748378581644004,0.0009642102940242216,False
2.5710138917686085,0.9188247499178465,0.0009663155447776688,False
2.5198130461288355,0.9111236208088586,0.0008849429692530252,False
2.4706116756325964,0.93452756433148,0.0008726186012874434,False
2.423294899355091,0.9437377755559838,0.0008241218067568182,False
2.377756471716203,0.9554726268538277,0.0007992634532352083,False
2.333897986071899,0.9839020773378621,0.0007969286443882857,False
2.2916281648493806,0.9868533787643913,0.0007689325023328212,False
2.2508622254492647,0.9809035575323166,0.0007116071749740684,False
2.211521312644908,0.9984718709703017,0.0006844099903247266,False
2.17353198948291,0.9841084637414896,0.0006547278297567387,False
2.13535388324436,0.9983609364357977,0.0006452012553936175,False
2.098493822981892,1.0197279755461723,0.0006126834288146823,False
2.062884711362502,1.0261049727429987,0.0006062900267892908,False
2.0284639293309343,1.030864224595856,0.0006144774553187363,False
1.995172968624296,1.0291431471609611,0.0006087189876999892,False
1.9629570998891879,1.0392021442745618,0.0006157378147773199,False
1.9317650724411903,1.0539282032479633,0.0006260581728789987,False
1.901548842202116,1.0352532071158986,0.000599168636336038,False
1.8722633247772913,1.0342968398590682,0.0005890518937748837,False
1.8438661710037174,1.0543675158471801,0.000608046251461598,False
1.8163175626190127,1.045079936866251,0.0005930738448934965,False
1.7895800259777745,1.0430862100829232,0.0005883217611991178,False
1.7636182619826481,1.0409830554608754,0.0005836575977802885,False
1.7383989906070378,1.0337263561164178,0.0005762658322407514,False
